MSZoning,LotFrontage,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,2ndFlrSF,GrLivArea,FullBath,KitchenQual,Functional,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageCars,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,SaleType,SaleCondition
RH,26.0,Pave,IR1,Lvl,AllPub,FR2,Gtl,NAmes,Norm,Norm,TwnhsE,1Story,7,1999,1999,Gable,CompShg,MetalSd,MetalSd,None,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,1051.0,BLQ,1405.0,GasA,Ex,Y,SBrkr,0,1337,2,Gd,Typ,1,Fa,Attchd,Fin,2.0,TA,TA,Y,203,68,WD,Normal
RM,21.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,6,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,504.0,TA,TA,CBlock,TA,TA,No,Rec,156.0,Unf,483.0,GasA,TA,Y,SBrkr,504,987,1,TA,Typ,0,Gd,Detchd,Unf,1.0,TA,TA,Y,275,0,COD,Normal
RM,21.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,492.0,TA,TA,CBlock,TA,TA,No,Rec,300.0,Unf,525.0,GasA,TA,Y,SBrkr,567,1092,1,TA,Typ,0,Gd,Detchd,Unf,1.0,TA,TA,Y,0,0,WD,Normal
RL,24.0,Pave,Reg,Lvl,AllPub,FR2,Gtl,NPkVill,Norm,Norm,Twnhs,2Story,6,1975,1975,Gable,CompShg,Plywood,Brk Cmn,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,514.0,Unf,855.0,GasA,TA,Y,SBrkr,601,1456,2,Gd,Typ,1,TA,Attchd,Unf,2.0,TA,TA,Y,173,0,WD,Normal
RL,24.0,Pave,Reg,Lvl,AllPub,FR2,Gtl,NPkVill,Norm,Norm,Twnhs,1Story,7,1975,1975,Gable,CompShg,Plywood,Brk Cmn,None,0.0,TA,TA,CBlock,Gd,TA,No,Unf,0.0,Unf,836.0,GasA,Ex,Y,SBrkr,0,836,1,TA,Typ,0,Gd,Attchd,Unf,1.0,TA,TA,Y,0,30,WD,Normal
RL,102.0,Pave,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,2009,2010,Gable,CompShg,VinylSd,VinylSd,Stone,162.0,Ex,TA,PConc,Ex,TA,No,Unf,0.0,Unf,1590.0,GasA,Ex,Y,SBrkr,707,2334,2,Ex,Typ,1,Gd,Attchd,Fin,3.0,TA,TA,Y,144,133,New,Partial
RL,94.0,Pave,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,2009,2010,Gable,CompShg,VinylSd,VinylSd,Stone,256.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,1544.0,GasA,Ex,Y,SBrkr,0,1544,2,Gd,Typ,0,Gd,Attchd,RFn,3.0,TA,TA,Y,0,35,New,Partial
RL,90.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,PosN,Norm,1Fam,1Story,9,2005,2005,Hip,CompShg,VinylSd,VinylSd,BrkFace,615.0,Gd,TA,PConc,Ex,TA,No,GLQ,110.0,Unf,1698.0,GasA,Ex,Y,SBrkr,0,1698,2,Ex,Typ,1,Gd,Attchd,Fin,3.0,TA,TA,Y,192,74,WD,Normal
RL,79.0,Pave,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,2005,2006,Hip,CompShg,CemntBd,CmentBd,BrkFace,240.0,Gd,TA,PConc,Ex,TA,No,GLQ,28.0,Unf,1822.0,GasA,Ex,Y,SBrkr,0,1822,2,Ex,Typ,1,Gd,Attchd,RFn,3.0,TA,TA,Y,0,119,WD,Normal
RL,110.0,Pave,Reg,HLS,AllPub,Inside,Mod,NridgHt,Norm,Norm,1Fam,1Story,9,2003,2004,Hip,CompShg,VinylSd,VinylSd,BrkFace,1095.0,Ex,TA,PConc,Ex,TA,Gd,GLQ,1373.0,Unf,2846.0,GasA,Ex,Y,SBrkr,0,2696,2,Ex,Typ,2,Gd,Attchd,Fin,3.0,TA,TA,Y,220,150,WD,Normal
RL,105.0,Pave,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,2002,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,232.0,Gd,TA,PConc,Gd,TA,Gd,GLQ,578.0,Unf,1671.0,GasA,Ex,Y,SBrkr,563,2250,2,Gd,Typ,1,Ex,Attchd,Fin,3.0,TA,TA,Y,238,130,WD,Normal
RL,41.0,Pave,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,8,2006,2006,Gable,CompShg,VinylSd,VinylSd,Stone,178.0,Gd,TA,PConc,Gd,TA,Mn,GLQ,24.0,Unf,1370.0,GasA,Ex,Y,SBrkr,0,1370,2,Gd,Typ,1,Gd,Attchd,RFn,2.0,TA,TA,Y,120,49,WD,Normal
RL,100.0,Pave,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,1Story,6,2005,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,1324.0,GasA,Ex,Y,SBrkr,0,1324,2,Gd,Typ,0,Gd,Attchd,Fin,2.0,TA,TA,Y,36,23,WD,Normal
RL,43.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,Blmngtn,Norm,Norm,TwnhsE,1Story,7,2006,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,14.0,Gd,TA,PConc,Gd,TA,Av,GLQ,16.0,Unf,1145.0,GasA,Ex,Y,SBrkr,0,1145,2,Gd,Typ,0,Gd,Attchd,Fin,2.0,TA,TA,Y,100,116,WD,Normal
RL,67.0,Pave,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,SLvl,7,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,326.0,Unf,384.0,GasA,Ex,Y,SBrkr,630,1374,2,Gd,Typ,1,Gd,BuiltIn,Fin,2.0,TA,TA,Y,100,0,WD,Normal
RL,63.0,Pave,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,7,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,847.0,GasA,Ex,Y,SBrkr,886,1733,2,Gd,Typ,1,Gd,BuiltIn,Fin,2.0,TA,TA,Y,144,48,WD,Normal
RL,60.0,Pave,IR2,Lvl,AllPub,CulDSac,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,1998,1998,Hip,CompShg,VinylSd,VinylSd,BrkFace,114.0,Gd,TA,PConc,Ex,TA,No,Unf,0.0,Unf,1629.0,GasA,Ex,Y,SBrkr,830,2475,2,Gd,Typ,1,TA,Attchd,Fin,3.0,TA,TA,Y,23,172,WD,Normal
RL,73.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,226.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,1595.0,GasA,Ex,Y,SBrkr,0,1595,2,Gd,Typ,1,Gd,Attchd,RFn,3.0,TA,TA,Y,144,0,WD,Normal
FV,92.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,7,2009,2010,Hip,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,1218.0,GasA,Ex,Y,SBrkr,0,1218,2,Gd,Typ,0,Gd,Attchd,RFn,2.0,TA,TA,Y,0,136,New,Partial
FV,84.0,Pave,Reg,Lvl,AllPub,Corner,Gtl,Somerst,Norm,Norm,1Fam,1Story,6,2005,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Ex,TA,No,GLQ,1414.0,Unf,1468.0,GasA,Ex,Y,SBrkr,0,1468,2,Gd,Typ,1,Gd,Attchd,Fin,2.0,TA,TA,Y,0,102,WD,Normal
RL,70.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,2Story,7,2004,2004,Gable,CompShg,VinylSd,VinylSd,BrkFace,122.0,Gd,TA,PConc,Gd,TA,Av,Unf,0.0,Unf,831.0,GasA,Ex,Y,SBrkr,828,1659,2,Gd,Typ,0,Gd,Attchd,RFn,2.0,TA,TA,Y,144,68,WD,Normal
RH,70.0,Pave,Reg,Lvl,AllPub,Corner,Gtl,SawyerW,Feedr,Norm,1Fam,1Story,5,1920,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,Fa,BrkTil,TA,TA,No,Unf,0.0,Unf,816.0,GasA,TA,N,FuseA,0,1012,1,TA,Typ,0,Gd,Detchd,Unf,1.0,TA,TA,Y,121,0,WD,Normal
RL,39.0,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,RRNe,Norm,1Fam,1Story,6,1974,2002,Hip,CompShg,Plywood,Plywood,BrkCmn,250.0,TA,Gd,CBlock,TA,TA,Gd,BLQ,126.0,GLQ,1208.0,GasA,Ex,Y,SBrkr,0,1494,2,TA,Typ,2,Fa,Attchd,Fin,2.0,TA,TA,Y,296,0,WD,Abnorml
RL,85.0,Pave,IR1,Lvl,AllPub,Inside,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,1993,1993,Gable,CompShg,HdBoard,ImStucc,BrkFace,504.0,Gd,TA,PConc,Gd,TA,No,LwQ,250.0,GLQ,1231.0,GasA,Ex,Y,SBrkr,1098,2349,2,Gd,Typ,1,TA,Attchd,RFn,3.0,TA,TA,Y,32,130,WD,Normal
RL,88.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,1992,1993,Gable,CompShg,HdBoard,HdBoard,BrkFace,180.0,Gd,TA,PConc,Gd,TA,No,GLQ,1129.0,Unf,1390.0,GasA,Ex,Y,SBrkr,823,2225,2,Gd,Typ,1,TA,Attchd,RFn,3.0,TA,TA,Y,198,30,WD,Normal
FV,25.0,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,Somerst,Norm,Norm,TwnhsE,1Story,7,2004,2005,Gable,CompShg,MetalSd,MetalSd,None,0.0,Gd,TA,PConc,Ex,TA,Av,GLQ,1298.0,Unf,1488.0,GasA,Ex,Y,SBrkr,0,1488,2,Gd,Typ,1,Gd,Attchd,Fin,2.0,TA,TA,Y,168,50,WD,Normal
FV,39.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,TwnhsE,2Story,7,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,840.0,GasA,Ex,Y,SBrkr,840,1680,2,Gd,Typ,0,Gd,Attchd,RFn,2.0,TA,TA,Y,0,111,WD,Normal
FV,30.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,TwnhsE,2Story,7,2004,2004,Gable,CompShg,MetalSd,MetalSd,BrkFace,120.0,Gd,TA,PConc,Gd,TA,Av,GLQ,280.0,Unf,600.0,GasA,Ex,Y,SBrkr,600,1200,2,Gd,Typ,0,Gd,Detchd,RFn,2.0,TA,TA,Y,0,172,ConLD,Normal
FV,24.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,Twnhs,2Story,7,2004,2005,Gable,CompShg,MetalSd,MetalSd,None,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,368.0,ALQ,600.0,GasA,Ex,Y,SBrkr,600,1200,2,Gd,Typ,0,Gd,Detchd,RFn,2.0,TA,TA,Y,0,172,WD,Normal
FV,24.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,Twnhs,2Story,6,2005,2005,Gable,CompShg,VinylSd,VinylSd,BrkFace,216.0,Gd,TA,PConc,Gd,TA,No,GLQ,376.0,Unf,600.0,GasA,Ex,Y,SBrkr,636,1236,2,Gd,Typ,0,Gd,Detchd,RFn,2.0,TA,TA,Y,0,166,WD,Normal
FV,68.58035714285714,Pave,Reg,Lvl,AllPub,Corner,Gtl,Somerst,Norm,Norm,TwnhsE,2Story,6,2000,2000,Gable,CompShg,MetalSd,MetalSd,BrkFace,1159.0,Gd,TA,PConc,Gd,TA,No,GLQ,466.0,Unf,756.0,GasA,Ex,Y,SBrkr,756,1512,2,Gd,Typ,0,Gd,Detchd,Unf,2.0,TA,TA,Y,0,32,WD,Normal
FV,68.58035714285714,Pave,IR1,Lvl,AllPub,FR2,Gtl,Somerst,Norm,Norm,TwnhsE,2Story,7,2003,2003,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,244.0,Unf,530.0,GasA,Ex,Y,SBrkr,550,1080,2,Gd,Typ,0,Gd,Attchd,RFn,2.0,TA,TA,Y,0,50,WD,Normal
FV,57.0,Pave,IR1,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,2010,2010,Gable,CompShg,CemntBd,CmentBd,None,0.0,Gd,TA,PConc,Ex,Po,No,GLQ,1032.0,Unf,1642.0,GasA,Ex,Y,SBrkr,0,1418,1,Gd,Typ,1,Gd,Attchd,RFn,3.0,TA,TA,Y,160,192,New,Partial
FV,68.0,Pave,IR1,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,8,2000,2000,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,484.0,Unf,975.0,GasA,Ex,Y,SBrkr,873,1848,2,Gd,Typ,1,TA,Attchd,RFn,2.0,TA,TA,Y,280,184,WD,Normal
FV,80.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,7,2002,2002,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,833.0,Unf,1492.0,GasA,Ex,Y,SBrkr,0,1492,2,Gd,Typ,1,Gd,Attchd,RFn,2.0,TA,TA,Y,277,137,WD,Normal
RL,68.58035714285714,Pave,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6,1967,1967,Hip,CompShg,HdBoard,HdBoard,BrkFace,120.0,TA,TA,CBlock,TA,TA,No,GLQ,506.0,Unf,1829.0,GasA,Gd,Y,SBrkr,0,1829,2,TA,Typ,0,Gd,Attchd,RFn,2.0,TA,TA,Y,0,76,WD,Normal
RL,80.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,2Story,6,1993,1993,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,PConc,Gd,TA,Mn,GLQ,1137.0,Unf,1280.0,GasA,Ex,Y,SBrkr,1215,2495,2,Gd,Typ,1,TA,Attchd,Unf,2.0,TA,TA,Y,224,32,WD,Normal
RL,68.58035714285714,Pave,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1.5Fin,6,1978,1978,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,PConc,Gd,TA,Mn,ALQ,687.0,LwQ,1224.0,GasA,TA,Y,SBrkr,604,1891,3,TA,Typ,1,TA,Attchd,RFn,2.0,TA,TA,Y,0,69,WD,Normal
RL,80.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,2Story,6,1971,1971,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,329.0,Unf,715.0,GasA,TA,Y,SBrkr,715,1645,1,TA,Typ,0,Gd,Attchd,RFn,2.0,TA,TA,Y,0,78,WD,Normal
RL,80.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,1966,1966,Hip,CompShg,VinylSd,VinylSd,BrkFace,172.0,TA,TA,CBlock,TA,TA,No,Rec,698.0,Unf,1232.0,GasA,TA,Y,SBrkr,0,1232,1,TA,Typ,0,Gd,Attchd,RFn,2.0,TA,TA,Y,0,224,WD,Normal
RL,90.0,Pave,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,1966,1966,Hip,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,PConc,Gd,TA,No,BLQ,1059.0,Unf,1209.0,GasA,Gd,Y,SBrkr,0,1209,1,TA,Typ,0,Gd,Attchd,RFn,2.0,TA,TA,Y,0,0,ConLD,Normal
RL,88.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,1967,1967,Gable,CompShg,Wd Sdng,Plywood,BrkFace,268.0,TA,TA,CBlock,TA,TA,No,BLQ,1010.0,Unf,1510.0,GasA,Ex,Y,SBrkr,0,1510,2,Gd,Typ,0,Gd,Attchd,RFn,2.0,TA,TA,Y,0,40,WD,Normal
RL,68.58035714285714,Pave,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,SLvl,6,1964,1964,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,Unf,0.0,Unf,533.0,GasA,TA,Y,SBrkr,644,1775,2,TA,Typ,0,Gd,Attchd,Unf,2.0,TA,TA,Y,0,172,COD,Family
RL,98.0,Pave,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,Duplex,1Story,5,1962,2001,Hip,CompShg,HdBoard,HdBoard,BrkFace,144.0,TA,TA,CBlock,TA,TA,No,BLQ,1500.0,Unf,1728.0,GasA,TA,Y,SBrkr,0,1728,2,TA,Typ,0,Gd,Attchd,Unf,0.0,TA,TA,Y,0,0,Oth,Abnorml
RL,68.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1.5Fin,5,1952,2002,Gable,CompShg,MetalSd,MetalSd,BrkFace,265.0,Gd,TA,CBlock,TA,TA,No,LwQ,670.0,Unf,1140.0,GasA,Gd,Y,SBrkr,532,2461,2,TA,Min2,2,Gd,Detchd,Unf,2.0,TA,TA,Y,0,0,WD,Normal
RL,120.0,Pave,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Artery,Norm,1Fam,1.5Fin,6,1949,1950,Gable,CompShg,MetalSd,MetalSd,Stone,340.0,TA,Gd,CBlock,TA,TA,No,Rec,300.0,Unf,782.0,GasA,TA,Y,SBrkr,537,1556,2,TA,Typ,1,Gd,Attchd,Unf,2.0,TA,TA,Y,0,0,WD,Normal
RL,75.0,Pave,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,SFoyer,6,1966,2008,Gable,CompShg,HdBoard,HdBoard,BrkFace,216.0,TA,TA,CBlock,TA,TA,Gd,GLQ,944.0,Unf,1080.0,GasA,Gd,Y,SBrkr,0,1128,1,Gd,Typ,1,Gd,Attchd,Unf,1.0,TA,TA,Y,238,0,WD,Normal
RL,70.0,Pave,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Feedr,Norm,Duplex,1Story,5,1958,1958,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,Unf,0.0,Unf,1604.0,GasA,TA,Y,SBrkr,0,1604,2,TA,Typ,0,Gd,Attchd,Unf,2.0,TA,TA,Y,42,0,WD,Normal
RL,70.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,7,2003,2009,Gable,CompShg,VinylSd,VinylSd,BrkFace,506.0,Gd,TA,PConc,Gd,TA,No,GLQ,1188.0,Unf,1480.0,GasA,Ex,Y,SBrkr,0,1480,2,Gd,Typ,0,Gd,Attchd,RFn,2.0,TA,TA,Y,252,73,WD,Normal
RL,68.58035714285714,Pave,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,1959,1959,Hip,CompShg,MetalSd,MetalSd,BrkFace,150.0,TA,TA,CBlock,TA,TA,No,BLQ,856.0,Rec,1143.0,GasA,TA,Y,SBrkr,0,1143,1,TA,Typ,0,Gd,Attchd,RFn,1.0,TA,TA,Y,0,0,WD,Normal
RL,87.0,Pave,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,1959,1959,Hip,CompShg,MetalSd,MetalSd,BrkFace,91.0,TA,TA,CBlock,TA,TA,No,Rec,936.0,Unf,1206.0,GasA,Fa,Y,SBrkr,0,1206,1,TA,Typ,0,Gd,Attchd,RFn,1.0,TA,TA,Y,0,21,WD,Normal
RL,80.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,1959,1959,Gable,CompShg,Wd Sdng,Wd Sdng,Stone,432.0,TA,TA,CBlock,TA,TA,No,Rec,734.0,Unf,1244.0,GasA,Ex,Y,SBrkr,0,1580,1,TA,Typ,2,Gd,Attchd,Unf,2.0,TA,TA,Y,0,28,WD,Normal
RL,60.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1.5Fin,4,1956,1956,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,TA,TA,No,Unf,0.0,Unf,832.0,GasA,TA,Y,FuseA,505,1337,1,TA,Typ,0,Gd,Attchd,Unf,1.0,TA,TA,Y,0,0,WD,Normal
RL,60.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,1952,1952,Gable,CompShg,WdShing,Wd Shng,None,0.0,TA,TA,CBlock,TA,TA,No,BLQ,339.0,Unf,864.0,GasA,TA,Y,SBrkr,0,1064,1,Fa,Typ,0,Gd,Detchd,Unf,1.0,TA,TA,Y,0,0,WD,Normal
RL,119.0,Pave,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,1955,1955,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,Gd,CBlock,TA,TA,No,Rec,648.0,Unf,972.0,GasA,TA,Y,SBrkr,0,972,1,TA,Typ,0,Gd,Attchd,Unf,1.0,TA,TA,Y,0,0,WD,Normal
